names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
LEKR1,0.8652623,1.5052351,0.38689481411660587,0.7790889944490795,0.016009557945041816,High_CNV,High_CNV_vs_Low_CNV,False
PLCB4,0.8650802,1.7996649,0.3869947744017893,0.779207548203624,0.014575866188769415,High_CNV,High_CNV_vs_Low_CNV,False
MLST8,0.86398274,0.1652936,0.3875973684540043,0.7802551844528385,0.13596176821983275,High_CNV,High_CNV_vs_Low_CNV,False
TRIM66,0.8636139,1.3069286,0.38780002842422534,0.7804599601281348,0.018399044205495818,High_CNV,High_CNV_vs_Low_CNV,False
GHDC,0.8635729,0.1874024,0.3878225501844209,0.7804599601281348,0.09151732377538829,High_CNV,High_CNV_vs_Low_CNV,False
ABCA6,0.8633543,1.299338,0.38794267970086704,0.7806188775094901,0.01863799283154122,High_CNV,High_CNV_vs_Low_CNV,False
CDKN2AIP,0.86217034,0.3241115,0.38859377521367566,0.7818460584476299,0.0931899641577061,High_CNV,High_CNV_vs_Low_CNV,False
HECTD2,0.8618744,1.1243399,0.38875665300200024,0.7820907949700789,0.018399044205495818,High_CNV,High_CNV_vs_Low_CNV,False
ALDH1B1,0.8616012,0.78730005,0.38890703861443876,0.7823103507979244,0.031541218637992835,High_CNV,High_CNV_vs_Low_CNV,False
NKX3-1,0.8610365,0.92915756,0.389217947742478,0.7827697114460334,0.019115890083632018,High_CNV,High_CNV_vs_Low_CNV,False
CPNE2,0.86087257,0.2586233,0.38930824000433417,0.7828682824389988,0.06475507765830346,High_CNV,High_CNV_vs_Low_CNV,False
PPP4C,0.8605447,0.1218745,0.3894888627579698,0.7830654385884551,0.4246117084826762,High_CNV,High_CNV_vs_Low_CNV,False
GABPB2,0.8596658,0.32205787,0.3899732834983053,0.7839562562587831,0.06188769414575866,High_CNV,High_CNV_vs_Low_CNV,False
IGHG2,0.8593698,1.097009,0.39013651280393724,0.7841938805110014,0.02198327359617682,High_CNV,High_CNV_vs_Low_CNV,False
TAF8,0.8593015,0.32877016,0.3901741870024682,0.7841938805110014,0.07574671445639188,High_CNV,High_CNV_vs_Low_CNV,False
RBM5,0.8591057,0.16687766,0.39028219862730673,0.7843278475115897,0.2054958183990442,High_CNV,High_CNV_vs_Low_CNV,False
HOXA-AS2,0.85803103,0.74356323,0.39087533013341846,0.7851870178985575,0.02054958183990442,High_CNV,High_CNV_vs_Low_CNV,False
SUSD6,0.8569336,0.15467535,0.39148159267926186,0.7862359302755227,0.15197132616487455,High_CNV,High_CNV_vs_Low_CNV,False
NUP188,0.856246,0.25081164,0.3918617408037274,0.7868351418044139,0.06188769414575866,High_CNV,High_CNV_vs_Low_CNV,False
EIF2B5,0.85564035,0.10958235,0.39219675870170867,0.7874244684287429,0.11612903225806452,High_CNV,High_CNV_vs_Low_CNV,False
HEXIM2,0.8552123,0.35749343,0.392433643010176,0.787816665575102,0.03894862604540024,High_CNV,High_CNV_vs_Low_CNV,False
TTC23,0.8550984,0.753231,0.3924966587576262,0.787859772791954,0.026045400238948625,High_CNV,High_CNV_vs_Low_CNV,False
GFER,0.85461116,0.169955,0.39276643547116763,0.7882394999781318,0.17562724014336917,High_CNV,High_CNV_vs_Low_CNV,False
DVL2,0.85433793,0.47551146,0.392917761302258,0.7884546971851997,0.05400238948626045,High_CNV,High_CNV_vs_Low_CNV,False
RNF214,0.8536777,0.21452849,0.39328361123622746,0.789105341419282,0.06164874551971326,High_CNV,High_CNV_vs_Low_CNV,False
AACS,0.85240716,0.4993352,0.3939881372410826,0.7901845413258388,0.04659498207885305,High_CNV,High_CNV_vs_Low_CNV,False
DPP4,0.8521613,0.12359314,0.39412458529853744,0.790374617763219,0.04396654719235364,High_CNV,High_CNV_vs_Low_CNV,False
ZNF133,0.85197455,0.5459236,0.39422820384756785,0.7904988249068645,0.027001194743130227,High_CNV,High_CNV_vs_Low_CNV,False
SND1-IT1,0.851797,0.22914952,0.3943267831302435,0.7906129022164148,0.06379928315412187,High_CNV,High_CNV_vs_Low_CNV,False
PARD6G,0.85057205,0.42744476,0.3950071335580292,0.7918932651086706,0.024372759856630826,High_CNV,High_CNV_vs_Low_CNV,False
TFB1M,0.8504263,0.38831642,0.39508811464658244,0.7919718945431177,0.06117084826762246,High_CNV,High_CNV_vs_Low_CNV,False
DDX24,0.8501895,0.096612215,0.3952197303203393,0.7921519959337598,0.4881720430107527,High_CNV,High_CNV_vs_Low_CNV,False
LINC01571,0.8498298,4.733038,0.3954197356115624,0.7923474465951031,0.011469534050179211,High_CNV,High_CNV_vs_Low_CNV,False
LINC01564,0.8497205,5.385599,0.3954805088245248,0.7923474465951031,0.01099163679808841,High_CNV,High_CNV_vs_Low_CNV,False
