names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,group,comparison,significant
RBM10,-1.4853728,-0.18243735,0.1374451062559616,0.39393175761588506,0.07291666666666667,Cancer,Cancer_vs_Normal,False
PCED1A,-1.4863619,-0.37640145,0.13718341981133406,0.3933006132610658,0.05286458333333333,Cancer,Cancer_vs_Normal,False
MTMR4,-1.4864943,0.027446868,0.13714843459675677,0.393259761434456,0.06458333333333334,Cancer,Cancer_vs_Normal,False
CENPC,-1.4868077,0.076825224,0.1370656023293558,0.39308167974840963,0.1203125,Cancer,Cancer_vs_Normal,False
TGFBRAP1,-1.4871142,-0.23947226,0.13698464809757904,0.3929089309090421,0.052083333333333336,Cancer,Cancer_vs_Normal,False
SHB,-1.4873511,-0.8032488,0.13692211782190913,0.3927889826792477,0.03229166666666667,Cancer,Cancer_vs_Normal,False
NTM,-1.4877272,-2.0367587,0.13682285029475802,0.39256359392437,0.0109375,Cancer,Cancer_vs_Normal,False
RBM41,-1.4884934,-0.2192856,0.13662081043507618,0.39204322437603567,0.037760416666666664,Cancer,Cancer_vs_Normal,False
PEX1,-1.4895523,-0.3222085,0.13634200704474175,0.39136161095860866,0.034895833333333334,Cancer,Cancer_vs_Normal,False
PLXNA3,-1.4896777,-0.44013125,0.13630901995696965,0.3913261525104344,0.041666666666666664,Cancer,Cancer_vs_Normal,False
RABL3,-1.4912728,-0.34016547,0.13588988845008224,0.39030012637525513,0.0609375,Cancer,Cancer_vs_Normal,False
C8orf34-AS1,-1.4915026,-1.0225539,0.13582957171131768,0.39018597811347167,0.018229166666666668,Cancer,Cancer_vs_Normal,False
SNRNP48,-1.491628,-0.22309667,0.13579668038703305,0.3901505898409455,0.07083333333333333,Cancer,Cancer_vs_Normal,False
PAICS,-1.4916489,-0.15159503,0.1357911990976818,0.3901505898409455,0.09609375,Cancer,Cancer_vs_Normal,False
ZNF397,-1.4917047,-0.42063442,0.13577658316137495,0.3901505898409455,0.05286458333333333,Cancer,Cancer_vs_Normal,False
CYP51A1,-1.4917743,-2.9161327,0.1357583149494844,0.3901505898409455,0.002864583333333333,Cancer,Cancer_vs_Normal,False
